Species_name	Comments_bernat	H	O
Trogonodactylus arabicus	HAJARS_no_endem	0	1
Trogonodactylus sharqiyahensis	HAJARS_no_endem	0	1
Stenodactylus doriae	HAJARS_no_endem	0	1
Spalerosophis diadema cliffordii	HAJARS_no_endem	0	1
#REF!	HAJARS_no_endem	0	1
Trachylepis tessellata	HAJARS_no_endem	0	1
Trapelus flavimaculatus	HAJARS_no_endem	0	1
Trapelus boehmei	Backbone	0	1
Tropidophis haetianus	Backbone	0	1
Uromastyx aegyptia aegyptia	HAJARS_no_endem	0	1
Uromastyx aegyptia leptieni	HAJARS_no_endem	0	1
Uromastyx aegyptia microlepis	HAJARS_no_endem	0	1
Uromastyx benti	HAJARS_no_endem	0	1
Uromastyx nigriventris	HAJARS_no_endem	0	1
Uromastyx ornata philbyi	HAJARS_no_endem	0	1
Uromastyx thomasi	HAJARS_no_endem	0	1
Cyrtopodion scabrum	HAJARS_no_endem	0	1
Urostrophus vautieri	Backbone	0	1
Uta stansburiana	Backbone	0	1
Varanus griseus	Backbone	0	1
Varanus mertensi	HAJARS_no_endem	0	1
Varanus mitchelli	HAJARS_no_endem	0	1
Varanus salvator	HAJARS_no_endem	0	1
Xantusia vigilis	Backbone	0	1
Xenodermus javanicus	Backbone	0	1
Xenopeltis unicolor	Backbone	0	1
Xenosaurus grandis	Backbone	0	1
Xenotyphlops grandidieri	Backbone	0	1
Zonosaurus ornatus	Backbone	0	1
