Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;Location
Hemidactylus;fasciatus;Hemidactylus_fasciatus;Hemidactylus fasciatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;festivus;Hemidactylus_festivus;Hemidactylus festivus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;flaviviridis;Hemidactylus_flaviviridis;Hemidactylus flaviviridis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;forbesii;Hemidactylus_forbesii;Hemidactylus forbesii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;foudaii;Hemidactylus_foudaii;Hemidactylus foudaii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;frenatus;Hemidactylus_frenatus;Hemidactylus frenatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;funaiolii;Hemidactylus_funaiolii;Hemidactylus funaiolii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;granchii;Hemidactylus_granchii;Hemidactylus granchii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;granosus;Hemidactylus_granosus;Hemidactylus granosus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;granti;Hemidactylus_granti;Hemidactylus granti;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;hajarensis;Hemidactylus_hajarensis;Hemidactylus hajarensis;Hajars;1;0;1;0;Arabia
Hemidactylus;homoeolepis;Hemidactylus_homoeolepis;Hemidactylus homoeolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;imbricatus;Hemidactylus_imbricatus;Hemidactylus imbricatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;inexpectatus;Hemidactylus_inexpectatus;Hemidactylus inexpectatus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;inintellectus;Hemidactylus_inintellectus;Hemidactylus inintellectus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;isolepis;Hemidactylus_isolepis;Hemidactylus isolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;jumailiae;Hemidactylus_jumailiae;Hemidactylus jumailiae;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;kurdicus;Hemidactylus_kurdicus;Hemidactylus kurdicus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;laevis;Hemidactylus_laevis;Hemidactylus laevis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lanzai;Hemidactylus_lanzai;Hemidactylus lanzai;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lavadeserticus;Hemidactylus_lavadeserticus;Hemidactylus lavadeserticus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;lemurinus;Hemidactylus_lemurinus;Hemidactylus lemurinus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;longicephalus;Hemidactylus_longicephalus;Hemidactylus longicephalus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;luqueorum;Hemidactylus_luqueorum;Hemidactylus luqueorum;Hajars;1;0;1;0;Arabia
Hemidactylus;mabouia;Hemidactylus_mabouia;Hemidactylus mabouia;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;macropholis;Hemidactylus_macropholis;Hemidactylus macropholis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;mandebensis;Hemidactylus_mandebensis;Hemidactylus mandebensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;masirahensis;Hemidactylus_masirahensis;Hemidactylus masirahensis;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;mindiae;Hemidactylus_mindiae;Hemidactylus mindiae;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;minutus;Hemidactylus_minutus;Hemidactylus minutus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;montanus;Hemidactylus_montanus;Hemidactylus montanus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;ophiolepis;Hemidactylus_ophiolepis;Hemidactylus ophiolepis;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;ophiolepoides;Hemidactylus_ophiolepoides;Hemidactylus ophiolepoides;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;oxyrhinus;Hemidactylus_oxyrhinus;Hemidactylus oxyrhinus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;palaichthus;Hemidactylus_palaichthus;Hemidactylus palaichthus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;pauciporosus;Hemidactylus_pauciporosus;Hemidactylus pauciporosus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;paucituberculatus;Hemidactylus_paucituberculatus;Hemidactylus paucituberculatus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;persicus;Hemidactylus_persicus;Hemidactylus persicus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;platycephalus;Hemidactylus_platycephalus;Hemidactylus platycephalus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;platyurus;Hemidactylus_platyurus;Hemidactylus platyurus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;pumilio;Hemidactylus_pumilio;Hemidactylus pumilio;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;robustus;Hemidactylus_robustus;Hemidactylus robustus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;ruspolii;Hemidactylus_ruspolii;Hemidactylus ruspolii;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;saba;Hemidactylus_saba;Hemidactylus saba;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;shihraensis;Hemidactylus_shihraensis;Hemidactylus shihraensis;Genus Hajars;0;1;1;0;Arabia
