Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Leiocephalus;barahonensis;Leiocephalus_barahonensis;Leiocephalus barahonensis;Backbone;0;1;0;1;;;;;;;;
Leiolepis;belliana;Leiolepis_belliana;Leiolepis belliana;Backbone;0;1;0;1;;;;;;;;
Liotyphlops;albirostris;Liotyphlops_albirostris;Liotyphlops albirostris;Backbone;0;1;0;1;;;;;;;;
Loxocemus;bicolor;Loxocemus_bicolor;Loxocemus bicolor;Backbone;0;1;0;1;;;;;;;;
Lytorhynchus;diadema;Lytorhynchus_diadema;Lytorhynchus diadema;Backbone;0;1;1;0;;;;;;;;
Macrovipera;lebetina;Macrovipera_lebetina;Macrovipera lebetina;Backbone Eastern mediterranean;0;1;0;1;;;;;;;;
Malayopython;reticulatus;Malayopython_reticulatus;Malayopython reticulatus;Backbone;0;1;0;1;;;;;;;;
Malpolon;moilensis;Malpolon_moilensis;Malpolon moilensis;Backbone;0;1;1;0;;;;;;;;
Mesalina;adramitana;Mesalina_adramitana;Mesalina adramitana;Genus Hajars;0;1;1;0;;;;;;;;
Mesalina;austroarabica;Mesalina_austroarabica;Mesalina austroarabica;Genus Hajars;0;1;1;0;;;;;;;;
Mesalina;brevirostris;Mesalina_brevirostris;Mesalina brevirostris;Genus Hajars;0;1;1;0;;;;;;;;
Myriopholis;macrorhyncha;Myriopholis_macrorhyncha;Myriopholis macrorhyncha;Backbone;0;1;1;0;;;;;;;;
Naja;kaouthia;Naja_kaouthia;Naja kaouthia;Backbone;0;1;0;1;;;;;;;;
Naja;nigricollis;Naja_nigricollis;Naja nigricollis;Backbone;0;1;0;1;;;;;;;;
Namazonurus;namaquensis;Namazonurus_namaquensis;Namazonurus namaquensis;Backbone;0;1;0;1;;;;;;;;
Naultinus;gemmeus;Naultinus_gemmeus;Naultinus gemmeus;Backbone;0;1;0;1;;;;;;;;
Oedodera;marmorata;Oedodera_marmorata;Oedodera marmorata;Backbone;0;1;0;1;;;;;;;;
Omanosaura;cyanura;Omanosaura_cyanura;Omanosaura cyanura;Hajars;1;0;1;0;;;;;;;;
Omanosaura;jayakari;Omanosaura_jayakari;Omanosaura jayakari;Hajars;1;0;1;0;;;;;;;;
Pareas;carinatus;Pareas_carinatus;Pareas carinatus;Backbone;0;1;0;1;;;;;;;;
Petrosaurus;mearnsi;Petrosaurus_mearnsi;Petrosaurus mearnsi;Backbone;0;1;0;1;;;;;;;;
Phelsuma;inexpectata;Phelsuma_inexpectata;Phelsuma inexpectata;Backbone;0;1;0;1;;;;;;;;
Phelsuma;ornata;Phelsuma_ornata;Phelsuma ornata;Backbone;0;1;0;1;;;;;;;;
Phrynosoma;cornutum;Phrynosoma_cornutum;Phrynosoma cornutum;Backbone;0;1;0;1;;;;;;;;
Phymaturus;palluma;Phymaturus_palluma;Phymaturus palluma;Backbone;0;1;0;1;;;;;;;;
Platyceps;rhodorachis;Platyceps_rhodorachis;Platyceps  rhodorachis;HAJARS_no_endem;0;1;1;0;;;;;;;;
Plica;plica;Plica_plica;Plica plica;Backbone;0;1;0;1;;;;;;;;
Podarcis;lilfordi;Podarcis_lilfordi;Podarcis lilfordi;Backbone;0;1;0;1;;;;;;;;
Podarcis;pityusensis;Podarcis_pityusensis;Podarcis pityusensis;Backbone;0;1;0;1;;;;;;;;
Pogona;vitticeps;Pogona_vitticeps;Pogona vitticeps;Backbone;0;1;0;1;;;;;;;;
Polychrus;marmoratus;Polychrus_marmoratus;Polychrus marmoratus;Backbone;0;1;0;1;;;;;;;;
Porthidium;arcosae;Porthidium_arcosae;Porthidium arcosae;Backbone;0;1;0;1;;;;;;;;
Porthidium;nasutum;Porthidium_nasutum;Porthidium nasutum;Backbone;0;1;0;1;;;;;;;;
Pristurus;abdelkuri;Pristurus_abdelkuri;Pristurus abdelkuri;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;adrarensis;Pristurus_adrarensis;Pristurus adrarensis;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;carteri;Pristurus_carteri;Pristurus carteri;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;celerrimus;Pristurus_celerrimus;Pristurus celerrimus;Hajars;1;0;1;0;;;;;;;;
Pristurus;collaris;Pristurus_collaris;Pristurus collaris;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;crucifer;Pristurus_crucifer;Pristurus crucifer;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;flavipunctatus;Pristurus_flavipunctatus;Pristurus flavipunctatus;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;gallagheri;Pristurus_gallagheri;Pristurus gallagheri;Hajars;1;0;1;0;;;;;;;;
Pristurus;guichardi;Pristurus_guichardi;Pristurus guichardi;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;insignis;Pristurus_insignis;Pristurus insignis;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;insignoides;Pristurus_insignoides;Pristurus insignoides;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;masirahensis;Pristurus_masirahensis;Pristurus masirahensis;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;minimus;Pristurus_minimus;Pristurus minimus;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;obsti;Pristurus_obsti;Pristurus obsti;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;ornithocephalus;Pristurus_ornithocephalus;Pristurus ornithocephalus;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;phillipsii;Pristurus_phillipsii;Pristurus phillipsii;Genus Hajars;0;1;0;1;;;;;;;;
